Rk,Player,Tm,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW," $45,780,966.00 "," $48,070,014.00 "," $51,915,615.00 "," $55,761,216.00 "," $59,606,817.00 ",,Bird Rights," $261,134,628.00 "
2,John Wall\walljo01,HOU," $44,310,840.00 "," $47,366,760.00 ",,,,,Bird Rights," $44,310,840.00 "
3,Russell Westbrook\westbru01,LAL," $44,211,146.00 "," $47,063,478.00 ",,,,,Bird Rights," $44,211,146.00 "
4,James Harden\hardeja01,PHI," $43,848,000.00 "," $46,872,000.00 ",,,,,Bird Rights," $43,848,000.00 "
5,LeBron James\jamesle01,LAL," $41,180,544.00 "," $44,474,988.00 ",,,,,Bird," $85,655,532.00 "
6,Kevin Durant\duranke01,BRK," $40,918,900.00 "," $42,969,845.00 "," $42,969,845.00 "," $49,856,021.00 "," $53,282,609.00 ",,Sign and Trade," $229,997,220.00 "
7,Giannis Antetokounmpo\antetgi01,MIL," $39,344,970.00 "," $42,492,568.00 "," $45,640,165.00 "," $48,787,763.00 "," $51,935,360.00 ",,Bird," $176,265,466.00 "
8,Paul George\georgpa01,LAC," $39,344,970.00 "," $42,492,568.00 "," $45,640,165.00 "," $48,787,763.00 ",,,Bird," $127,477,703.00 "
9,Damian Lillard\lillada01,POR," $39,344,900.00 "," $42,492,492.00 "," $45,640,084.00 "," $48,787,676.00 ",,,1st Round Pick," $176,265,152.00 "
10,Kawhi Leonard\leonaka01,LAC," $39,344,900.00 "," $42,492,492.00 "," $45,640,084.00 "," $48,787,676.00 ",,,Early Bird," $127,477,476.00 "
11,Klay Thompson\thompkl01,GSW," $37,980,720.00 "," $40,600,080.00 "," $43,219,440.00 ",,,,Bird Rights," $121,800,240.00 "
12,Jimmy Butler\butleji01,MIA," $36,016,200.00 "," $37,653,300.00 "," $45,183,960.00 "," $48,798,677.00 "," $52,413,394.00 ",,Sign and Trade," $167,652,137.00 "
13,Tobias Harris\harrito02,PHI," $36,000,000.00 "," $38,482,759.00 "," $40,965,517.00 ",,,,Bird Rights," $115,448,276.00 "
14,Khris Middleton\middlkh01,MIL," $35,500,000.00 "," $37,948,276.00 "," $40,396,552.00 ",,,,Bird Rights," $73,448,276.00 "
15,Anthony Davis\davisan02,LAL," $35,361,360.00 "," $37,980,720.00 "," $40,600,080.00 "," $43,219,440.00 ",,,Bird," $113,942,160.00 "
16,Rudy Gobert\goberru01,UTA," $35,344,828.00 "," $38,172,414.00 "," $41,000,000.00 "," $43,827,587.00 "," $46,655,173.00 ",,Bird," $158,344,829.00 "
17,Kyrie Irving\irvinky01,BRK," $34,916,200.00 "," $36,503,300.00 ",,,,,Cap space," $34,916,200.00 "
18,Bradley Beal\bealbr01,WAS," $34,502,130.00 "," $37,262,300.00 ",,,,,Cap Space," $34,502,130.00 "
19,Kristaps Porziņģis\porzikr01,WAS," $31,650,600.00 "," $33,833,400.00 "," $36,016,200.00 ",,,,Bird Rights," $65,484,000.00 "
20,Devin Booker\bookede01,PHO," $31,610,000.00 "," $33,790,000.00 "," $35,970,000.00 ",,,,1st round pick," $101,370,000.00 "
21,Karl-Anthony Towns\townska01,MIN," $31,610,000.00 "," $33,790,000.00 "," $35,970,000.00 ",,,,1st Round Pick," $101,370,000.00 "
22,Jamal Murray\murraja01,DEN," $31,590,000.00 "," $33,930,000.00 "," $36,270,000.00 "," $38,610,000.00 ",,,1st Round pick," $140,400,000.00 "
23,Ben Simmons\simmobe01,BRK," $31,590,000.00 "," $33,930,000.00 "," $36,270,000.00 "," $38,610,000.00 ",,,1st Round pick," $140,400,000.00 "
24,Joel Embiid\embiijo01,PHI," $31,579,390.00 "," $33,616,770.00 "," $43,732,500.00 "," $47,231,100.00 "," $50,729,700.00 "," $54,228,300.00 ",1st Round Pick," $206,889,460.00 "
25,Andrew Wiggins\wiggian01,GSW," $31,579,390.00 "," $33,616,770.00 ",,,,,1st Round Pick," $65,196,160.00 "
26,Pascal Siakam\siakapa01,TOR," $31,320,000.00 "," $33,640,000.00 "," $35,960,000.00 ",,,,1st Round pick," $100,920,000.00 "
27,Kevin Love\loveke01,CLE," $31,300,000.00 "," $28,900,000.00 ",,,,,Bird Rights," $60,200,000.00 "
28,CJ McCollum\mccolcj01,NOP," $30,864,198.00 "," $33,333,333.00 "," $35,802,469.00 ",,,,1st Round Pick," $100,000,000.00 "
29,Chris Paul\paulch01,PHO," $30,800,000.00 "," $28,400,000.00 "," $30,800,000.00 "," $30,000,000.00 ",,,Bird," $75,000,000.00 "
30,Nikola Jokić\jokicni01,DEN," $30,510,423.00 "," $32,478,837.00 ",,,,,Bird Rights," $62,989,260.00 "
31,Jrue Holiday\holidjr01,MIL," $30,133,333.00 "," $32,393,333.00 "," $34,653,333.00 "," $36,913,333.00 ",,,Bird," $97,179,999.00 "
32,D'Angelo Russell\russeda01,MIN," $30,013,500.00 "," $31,377,750.00 ",,,,,Sign and Trade," $61,391,250.00 "
33,Gordon Hayward\haywago01,CHO," $29,900,000.00 "," $30,100,000.00 "," $31,500,000.00 ",,,,Sign and Trade," $91,500,000.00 "
34,Blake Griffin\griffbl01,DET," $32,405,817.00 ",,,,,,," $29,764,126.00 "
35,Brandon Ingram\ingrabr01,NOP," $29,467,800.00 "," $31,650,600.00 "," $33,833,400.00 "," $36,016,200.00 ",,,Bird," $130,968,000.00 "
36,De'Aaron Fox\foxde01,SAC," $28,103,550.00 "," $30,351,834.00 "," $32,600,118.00 "," $34,848,402.00 "," $37,096,686.00 ",,Bird," $163,000,590.00 "
37,Bam Adebayo\adebaba01,MIA," $28,103,550.00 "," $30,351,834.00 "," $32,600,118.00 "," $34,848,402.00 "," $37,096,686.00 ",,Bird," $163,000,590.00 "
38,Donovan Mitchell\mitchdo01,UTA," $28,103,550.00 "," $30,351,834.00 "," $32,600,118.00 "," $34,848,402.00 "," $37,096,686.00 ",,Bird," $125,903,904.00 "
39,Jayson Tatum\tatumja01,BOS," $28,103,550.00 "," $30,351,834.00 "," $32,600,118.00 "," $34,848,402.00 "," $37,096,686.00 ",,Bird," $125,903,904.00 "
40,Al Horford\horfoal01,BOS," $27,000,000.00 "," $26,500,000.00 ",,,,,Cap Space," $41,500,000.00 "
41,Kyle Lowry\lowryky01,MIA," $26,984,128.00 "," $28,333,334.00 "," $29,682,540.00 ",,,,Bird," $85,000,002.00 "
42,Kemba Walker\walkeke02,OKC," $8,729,020.00 "," $9,165,471.00 ",,,,,," $53,669,500.00 "
43,DeMar DeRozan\derozde01,CHI," $26,000,000.00 "," $27,300,000.00 "," $28,600,000.00 ",,,,Sign and Trade," $81,900,000.00 "
44,Jaylen Brown\brownja02,BOS," $24,830,357.00 "," $26,669,643.00 "," $28,508,929.00 ",,,,1st Round pick," $80,008,929.00 "
45,Draymond Green\greendr01,GSW," $24,026,712.00 "," $25,806,469.00 "," $27,586,225.00 ",,,,Bird Rights," $49,833,181.00 "
46,Nikola Vučević\vucevni01,CHI," $24,000,000.00 "," $22,000,000.00 ",,,,,Bird Rights," $46,000,000.00 "
47,John Collins\collijo01,ATL," $23,000,000.00 "," $23,500,000.00 "," $25,340,000.00 "," $26,580,000.00 "," $26,580,000.00 ",,Bird," $125,000,000.00 "
48,Buddy Hield\hieldbu01,IND," $22,477,273.00 "," $20,522,727.00 "," $18,568,182.00 ",,,,1st Round pick," $61,568,182.00 "
49,Malcolm Brogdon\brogdma01,IND," $21,700,000.00 "," $22,600,000.00 "," $21,634,615.00 "," $23,365,385.00 ",,,Sign and Trade," $89,300,000.00 "
50,Tim Hardaway Jr.\hardati02,DAL," $21,306,816.00 "," $19,602,273.00 "," $17,897,728.00 "," $16,193,183.00 ",,,Bird," $75,000,000.00 "
51,Mike Conley\conlemi01,UTA," $21,000,000.00 "," $22,680,000.00 "," $24,360,000.00 ",,,,Bird," $58,000,000.00 "
52,Gary Harris\harriga01,ORL," $20,482,143.00 ",,,,,,1st Round Pick," $20,482,143.00 "
53,Danilo Gallinari\gallida01,ATL," $20,475,000.00 "," $21,450,000.00 ",,,,,Sign and Trade," $25,475,000.00 "
54,Harrison Barnes\barneha02,SAC," $20,284,091.00 "," $18,352,273.00 ",,,,,Bird Rights," $38,636,364.00 "
55,Jarrett Allen\allenja01,CLE," $20,000,000.00 "," $20,000,000.00 "," $20,000,000.00 "," $20,000,000.00 "," $20,000,000.00 ",,Bird," $100,000,000.00 "
56,Jerami Grant\grantje01,DET," $20,000,000.00 "," $20,952,381.00 ",,,,,Sign and Trade," $40,952,381.00 "
57,Julius Randle\randlju01,NYK," $19,800,000.00 "," $23,760,000.00 "," $25,660,800.00 "," $27,561,600.00 "," $29,462,400.00 ",,Cap Space," $96,782,400.00 "
58,Fred VanVleet\vanvlfr01,TOR," $19,675,926.00 "," $21,250,000.00 "," $22,824,074.00 ",,,,Bird," $40,925,926.00 "
59,Zach LaVine\lavinza01,CHI," $19,500,000.00 ",,,,,,Cap space," $19,500,000.00 "
60,Goran Dragić\dragigo01,SAS," $19,440,000.00 ",,,,,,," $19,440,000.00 "
61,Bojan Bogdanović\bogdabo02,UTA," $18,700,000.00 "," $19,550,000.00 ",,,,,Cap Space," $38,250,000.00 "
62,Lonzo Ball\balllo01,CHI," $18,604,651.00 "," $19,534,884.00 "," $20,465,117.00 "," $21,395,348.00 ",,,Sign and Trade," $58,604,652.00 "
63,Domantas Sabonis\sabondo01,SAC," $18,562,500.00 "," $19,937,500.00 "," $21,312,500.00 ",,,,1st Round pick," $59,812,500.00 "
64,Eric Gordon\gordoer01,HOU," $18,218,818.00 "," $19,568,360.00 "," $20,917,902.00 ",,,,Cap Space," $37,787,178.00 "
65,Evan Fournier\fournev01,NYK," $18,139,535.00 "," $19,046,512.00 "," $19,953,488.00 "," $20,860,465.00 ",,,Sign and Trade," $57,139,535.00 "
66,Eric Bledsoe\bledser01,POR," $18,125,000.00 "," $19,375,000.00 ",,,,,Bird Rights," $22,025,000.00 "
67,Myles Turner\turnemy01,IND," $18,000,000.00 "," $18,000,000.00 ",,,,,1st Round pick," $36,000,000.00 "
68,Bogdan Bogdanović\bogdabo01,ATL," $18,000,000.00 "," $18,000,000.00 "," $18,000,000.00 ",,,,Cap Space," $36,000,000.00 "
69,Terry Rozier\roziete01,CHO," $17,905,263.00 "," $21,486,316.00 "," $23,205,221.00 "," $24,924,126.00 "," $26,643,031.00 ",,Sign and Trade," $114,163,957.00 "
70,Ricky Rubio\rubiori01,IND," $17,809,524.00 ",,,,,,Cap Space," $17,809,524.00 "
71,Caris LeVert\leverca01,CLE," $17,500,000.00 "," $18,796,296.00 ",,,,,1st Round pick," $36,296,296.00 "
72,Jonathan Isaac\isaacjo01,ORL," $17,400,000.00 "," $17,400,000.00 "," $17,400,000.00 "," $17,400,000.00 ",,,Bird," $69,600,000.00 "
73,Joe Harris\harrijo01,BRK," $17,357,143.00 "," $18,642,857.00 "," $19,928,571.00 ",,,,Bird," $55,928,571.00 "
74,Spencer Dinwiddie\dinwisp01,DAL," $17,142,857.00 "," $18,000,000.00 "," $18,857,143.00 ",,,,Sign and Trade," $45,142,857.00 "
75,Clint Capela\capelca01,ATL," $17,103,448.00 "," $18,206,897.00 "," $20,616,000.00 "," $22,265,280.00 ",,,Bird Rights," $78,191,625.00 "
76,Steven Adams\adamsst01,MEM," $17,073,171.00 "," $17,926,829.00 ",,,,,1st Round Pick," $35,000,000.00 "
77,Markelle Fultz\fultzma01,ORL," $16,500,000.00 "," $16,500,000.00 "," $17,000,000.00 ",,,,Bird," $35,000,000.00 "
